periode_data;tanggal;stasiun;pm_10;pm_duakomalima;so2;co;o3;no2;max;critical;categori
202205;15/05/2022;DKI4;77;126;42;19;87;23;126;PM2,5;TIDAK SEHAT
202205;16/05/2022;DKI4;58;100;42;22;81;31;100;PM2,5;SEDANG
202205;17/05/2022;DKI4;66;128;42;22;77;31;128;PM2,5;TIDAK SEHAT
202205;18/05/2022;DKI4;62;99;42;15;89;24;99;PM2,5;SEDANG
202205;19/05/2022;DKI4;75;136;43;28;64;46;136;PM2,5;TIDAK SEHAT
202205;20/05/2022;DKI4;70;128;43;24;71;43;128;PM2,5;TIDAK SEHAT
202205;21/05/2022;DKI4;58;82;44;20;58;32;82;PM2,5;SEDANG
202205;22/05/2022;DKI4;58;110;44;17;55;25;110;PM2,5;TIDAK SEHAT
202205;23/05/2022;DKI4;68;123;47;17;53;24;123;PM2,5;TIDAK SEHAT
202205;24/05/2022;DKI4;58;98;46;11;54;21;98;PM2,5;SEDANG
202205;25/05/2022;DKI4;74;121;48;16;58;27;121;PM2,5;TIDAK SEHAT
202205;26/05/2022;DKI4;57;93;45;15;52;26;93;PM2,5;SEDANG
202205;27/05/2022;DKI4;79;146;52;25;76;35;146;PM2,5;TIDAK SEHAT
202205;28/05/2022;DKI3;57;105;43;17;82;33;105;PM2,5;TIDAK SEHAT
202205;29/05/2022;DKI4;64;107;43;23;65;40;107;PM2,5;TIDAK SEHAT
202205;30/05/2022;DKI4;51;89;45;17;58;31;89;PM2,5;SEDANG
202205;31/05/2022;0;63;100;44;44;59;44;100;;SEDANG
202206;01/06/2022;DKI5;53;77;43;18;55;27;77;PM2,5;SEDANG
202206;02/06/2022;DKI4;56;100;44;15;76;33;100;PM2,5;SEDANG
202206;03/06/2022;DKI2;51;68;44;20;72;36;72;O3;SEDANG
202206;04/06/2022;DKI4;78;136;44;26;92;51;136;PM2,5;TIDAK SEHAT
202206;05/06/2022;DKI4;62;116;45;15;87;27;116;PM2,5;TIDAK SEHAT
202206;06/06/2022;DKI4;64;111;44;21;62;35;111;PM2,5;TIDAK SEHAT
202206;07/06/2022;DKI4;61;76;44;18;50;32;76;PM2,5;SEDANG
202206;08/06/2022;DKI4;65;110;44;18;54;25;110;PM2,5;TIDAK SEHAT
202206;09/06/2022;DKI4;65;97;51;27;34;46;97;PM2,5;SEDANG
202206;10/06/2022;DKI4;56;82;44;26;49;36;82;PM2,5;SEDANG
202206;11/06/2022;DKI4;58;92;45;15;67;28;92;PM2,5;SEDANG
202206;12/06/2022;DKI4;61;112;45;22;71;33;112;PM2,5;TIDAK SEHAT
202206;13/06/2022;DKI4;61;97;46;22;71;38;97;PM2,5;SEDANG
202206;14/06/2022;DKI4;75;112;49;27;52;50;112;PM2,5;TIDAK SEHAT
202206;15/06/2022;DKI4;80;141;45;25;44;43;141;PM2,5;TIDAK SEHAT
202206;16/06/2022;DKI4;79;146;46;32;50;45;146;PM2,5;TIDAK SEHAT
202206;17/06/2022;DKI4;85;130;45;25;50;37;130;PM2,5;TIDAK SEHAT
202206;18/06/2022;DKI4;75;117;45;30;58;42;117;PM2,5;TIDAK SEHAT
202206;19/06/2022;DKI4;73;118;47;23;82;37;118;PM2,5;TIDAK SEHAT
202206;20/06/2022;DKI4;78;131;45;17;99;27;131;PM2,5;TIDAK SEHAT
202206;21/06/2022;DKI4;79;114;47;18;70;32;114;PM2,5;TIDAK SEHAT
202206;22/06/2022;DKI4;71;123;47;17;72;27;123;PM2,5;TIDAK SEHAT
202206;23/06/2022;DKI4;82;119;46;19;68;32;119;PM2,5;TIDAK SEHAT
202206;24/06/2022;DKI4;85;123;46;22;77;38;123;PM2,5;TIDAK SEHAT
202206;25/06/2022;DKI4;82;131;46;23;60;31;131;PM2,5;TIDAK SEHAT
202206;26/06/2022;DKI4;68;106;45;22;69;36;106;PM2,5;TIDAK SEHAT
202206;27/06/2022;DKI4;74;102;45;22;76;33;102;PM2,5;TIDAK SEHAT
202206;28/06/2022;DKI2;57;82;46;16;82;29;82;PM2,5;SEDANG
202206;29/06/2022;DKI4;59;79;46;14;72;32;79;PM2,5;SEDANG
202206;30/06/2022;DKI4;68;117;48;13;84;26;117;PM2,5;TIDAK SEHAT
202207;01/07/2022;DKI4;73;111;49;15;87;31;111;PM2,5;TIDAK SEHAT
202207;02/07/2022;DKI4;81;137;47;18;106;29;137;PM2,5;TIDAK SEHAT
202207;03/07/2022;DKI2;78;126;48;17;126;25;126;PM2,5;TIDAK SEHAT
202207;04/07/2022;DKI4;56;78;49;11;60;13;78;PM2,5;SEDANG
202207;05/07/2022;DKI4;66;110;47;16;61;23;110;PM2,5;TIDAK SEHAT
202207;06/07/2022;DKI4;75;129;45;25;71;26;129;PM2,5;TIDAK SEHAT
202207;07/07/2022;DKI3;94;135;46;29;74;44;135;PM2,5;TIDAK SEHAT
202207;08/07/2022;DKI2;55;80;48;17;95;25;95;O3;SEDANG
202207;09/07/2022;DKI2;61;93;48;13;107;25;107;O3;TIDAK SEHAT
202207;10/07/2022;DKI4;63;93;47;13;84;19;93;PM2,5;SEDANG
202207;11/07/2022;DKI4;66;112;47;15;84;29;112;PM2,5;TIDAK SEHAT
202207;12/07/2022;DKI4;77;123;49;17;84;28;123;PM2,5;TIDAK SEHAT
202207;13/07/2022;DKI4;69;114;48;16;65;29;114;PM2,5;TIDAK SEHAT
202207;14/07/2022;DKI4;85;125;47;25;57;33;125;PM2,5;TIDAK SEHAT
202207;15/07/2022;DKI4;58;86;49;12;65;18;86;PM2,5;SEDANG
202207;16/07/2022;DKI4;36;59;46;15;48;31;59;PM2,5;SEDANG
202207;17/07/2022;DKI4;59;89;48;28;51;36;89;PM2,5;SEDANG
202207;18/07/2022;DKI4;75;143;48;30;84;36;143;PM2,5;TIDAK SEHAT
202207;19/07/2022;DKI4;75;114;50;15;98;25;114;PM2,5;TIDAK SEHAT
202207;20/07/2022;DKI4;76;124;49;18;94;26;124;PM2,5;TIDAK SEHAT
202207;21/07/2022;DKI2;75;110;50;15;114;28;114;O3;TIDAK SEHAT
202207;22/07/2022;DKI4;74;121;50;17;96;25;121;PM2,5;TIDAK SEHAT
202207;23/07/2022;DKI4;61;99;50;14;67;19;99;PM2,5;SEDANG
202207;24/07/2022;DKI2;54;82;47;14;94;21;94;O3;SEDANG
202207;25/07/2022;DKI2;56;87;46;16;91;24;91;O3;SEDANG
202207;26/07/2022;DKI4;67;110;49;16;85;20;110;PM2,5;TIDAK SEHAT
202207;27/07/2022;DKI2;70;116;50;14;118;24;118;O3;TIDAK SEHAT
202207;28/07/2022;DKI4;82;132;50;16;90;30;132;PM2,5;TIDAK SEHAT
202207;29/07/2022;DKI4;74;123;50;12;86;22;123;PM2,5;TIDAK SEHAT
202207;30/07/2022;DKI4;66;118;49;15;95;22;118;PM2,5;TIDAK SEHAT
202207;31/07/2022;DKI4;80;143;49;17;115;27;143;PM2,5;TIDAK SEHAT
202208;01/08/2022;DKI4;68;109;50;12;91;19;109;PM2,5;TIDAK SEHAT
202208;02/08/2022;DKI4;67;113;50;15;84;28;113;PM2,5;TIDAK SEHAT
202208;03/08/2022;DKI4;82;141;51;19;129;24;141;PM2,5;TIDAK SEHAT
202208;04/08/2022;DKI4;69;99;48;15;82;20;99;PM2,5;SEDANG
202208;05/08/2022;DKI4;60;82;47;17;79;26;82;PM2,5;SEDANG
202208;06/08/2022;DKI4;69;101;49;19;87;29;101;PM2,5;TIDAK SEHAT
202208;07/08/2022;DKI4;76;119;50;18;114;29;119;PM2,5;TIDAK SEHAT
202208;08/08/2022;DKI2;60;84;48;18;97;27;97;O3;SEDANG
202208;09/08/2022;DKI2;61;88;50;14;103;21;103;O3;TIDAK SEHAT
202208;10/08/2022;DKI4;73;116;49;19;82;29;116;PM2,5;TIDAK SEHAT
202208;11/08/2022;DKI4;74;107;52;19;80;27;107;PM2,5;TIDAK SEHAT
202208;12/08/2022;DKI2;65;94;49;17;97;25;97;O3;SEDANG
202208;13/08/2022;DKI5;58;77;48;21;76;36;77;PM2,5;SEDANG
202208;14/08/2022;DKI4;68;93;50;14;80;20;93;PM2,5;SEDANG
202208;15/08/2022;DKI4;64;84;50;17;63;28;84;PM2,5;SEDANG
202208;16/08/2022;DKI2;61;89;51;15;181;33;181;O3;TIDAK SEHAT
202208;17/08/2022;DKI2;55;78;48;17;108;25;108;O3;TIDAK SEHAT
202208;18/08/2022;DKI4;64;89;49;25;84;28;89;PM2,5;SEDANG
202208;19/08/2022;DKI4;70;105;49;14;66;26;105;PM2,5;TIDAK SEHAT
202208;20/08/2022;DKI4;76;117;50;14;69;18;117;PM2,5;TIDAK SEHAT
202208;21/08/2022;DKI4;59;101;49;13;65;17;101;PM2,5;TIDAK SEHAT
202208;22/08/2022;DKI2;57;78;49;13;79;22;79;O3;SEDANG
202208;23/08/2022;DKI4;76;116;49;17;81;27;116;PM2,5;TIDAK SEHAT
202208;24/08/2022;DKI4;71;119;50;15;82;20;119;PM2,5;TIDAK SEHAT
202208;25/08/2022;DKI4;64;98;50;12;66;19;98;PM2,5;SEDANG
202208;26/08/2022;DKI4;76;119;53;19;53;31;119;PM2,5;TIDAK SEHAT
202208;27/08/2022;DKI4;80;130;50;25;57;37;130;PM2,5;TIDAK SEHAT
202208;28/08/2022;DKI5;64;85;49;17;56;30;85;PM2,5;SEDANG
202208;29/08/2022;DKI4;58;82;49;16;55;29;82;PM2,5;SEDANG
202208;30/08/2022;DKI4;59;84;50;15;56;29;84;PM2,5;SEDANG
202208;31/08/2022;DKI4;85;148;51;25;74;37;148;PM2,5;TIDAK SEHAT
202209;01/09/2022;DKI4;83;130;51;15;42;25;130;PM2,5;TIDAK SEHAT
202209;02/09/2022;DKI4;71;108;51;21;35;32;108;PM2,5;TIDAK SEHAT
202209;03/09/2022;DKI4;64;102;50;18;37;31;102;PM2,5;TIDAK SEHAT
202209;04/09/2022;DKI4;42;76;50;9;33;14;76;PM2,5;SEDANG
202209;05/09/2022;DKI4;59;105;51;15;45;23;105;PM2,5;TIDAK SEHAT
202209;06/09/2022;DKI4;63;86;51;12;43;17;86;PM2,5;SEDANG
202209;07/09/2022;DKI4;55;79;49;15;38;21;79;PM2,5;SEDANG
202209;08/09/2022;DKI4;61;87;48;26;32;45;87;PM2,5;SEDANG
202209;09/09/2022;DKI5;71;91;49;28;32;43;91;PM2,5;SEDANG
202209;10/09/2022;DKI4;56;72;48;22;41;39;72;PM2,5;SEDANG
202209;11/09/2022;DKI4;64;88;51;20;37;34;88;PM2,5;SEDANG
202209;12/09/2022;DKI4;53;79;52;18;35;27;79;PM2,5;SEDANG
202209;13/09/2022;DKI1;59;81;52;18;45;32;81;PM2,5;SEDANG
202209;14/09/2022;DKI4;67;113;53;18;42;38;113;PM2,5;TIDAK SEHAT
202209;15/09/2022;DKI4;78;117;51;26;34;39;117;PM2,5;TIDAK SEHAT
202209;16/09/2022;DKI4;62;100;51;18;52;33;100;PM2,5;SEDANG
202209;17/09/2022;DKI4;70;103;51;19;49;35;103;PM2,5;TIDAK SEHAT
202209;18/09/2022;DKI4;72;113;51;21;43;33;113;PM2,5;TIDAK SEHAT
202209;19/09/2022;DKI4;70;113;51;17;46;28;113;PM2,5;TIDAK SEHAT
202209;20/09/2022;DKI4;66;110;51;21;37;41;110;PM2,5;TIDAK SEHAT
202209;21/09/2022;DKI4;69;112;50;17;42;32;112;PM2,5;TIDAK SEHAT
202209;22/09/2022;DKI5;63;90;50;16;37;24;90;PM2,5;SEDANG
202209;23/09/2022;DKI2;73;97;50;24;50;45;97;PM2,5;SEDANG
202209;24/09/2022;DKI4;57;83;50;17;39;33;83;PM2,5;SEDANG
202209;25/09/2022;DKI4;58;94;50;14;48;25;94;PM2,5;SEDANG
202209;26/09/2022;DKI5;57;79;51;14;56;26;79;PM2,5;SEDANG
202209;27/09/2022;DKI4;63;86;51;14;58;26;86;PM2,5;SEDANG
202209;28/09/2022;DKI4;62;92;51;13;55;24;92;PM2,5;SEDANG
202209;29/09/2022;DKI4;62;100;51;14;50;21;100;PM2,5;SEDANG
202209;30/09/2022;DKI4;71;103;51;14;45;23;103;PM2,5;TIDAK SEHAT
202210;01/10/2022;DKI4;80;128;52;14;39;21;128;PM2,5;TIDAK SEHAT
202210;02/10/2022;DKI4;54;79;50;12;43;19;79;PM2,5;SEDANG
202210;03/10/2022;DKI5;56;76;51;18;38;35;76;PM2,5;SEDANG
202210;04/10/2022;DKI4;67;98;51;15;40;33;98;PM2,5;SEDANG
202210;05/10/2022;DKI4;51;68;50;22;36;42;68;PM2,5;SEDANG
202210;06/10/2022;DKI4;61;89;51;20;39;32;89;PM2,5;SEDANG
202210;07/10/2022;DKI1;51;66;53;17;35;34;66;PM2,5;SEDANG
202210;08/10/2022;DKI5;35;61;50;17;28;25;61;PM2,5;SEDANG
202210;09/10/2022;DKI4;58;95;50;24;39;35;95;PM2,5;SEDANG
202210;10/10/2022;DKI4;54;74;50;14;38;25;74;PM2,5;SEDANG
202210;11/10/2022;DKI4;77;126;51;23;59;45;126;PM2,5;TIDAK SEHAT
202210;12/10/2022;DKI4;70;97;54;27;44;42;97;PM2,5;SEDANG
202210;13/10/2022;DKI4;63;91;52;17;54;36;91;PM2,5;SEDANG
202210;14/10/2022;DKI4;67;94;50;28;47;45;94;PM2,5;SEDANG
202210;15/10/2022;DKI4;55;78;51;13;58;27;78;PM2,5;SEDANG
202210;16/10/2022;DKI4;62;93;51;19;52;36;93;PM2,5;SEDANG
202210;17/10/2022;DKI4;56;85;51;13;54;25;85;PM2,5;SEDANG
202210;18/10/2022;DKI1;59;79;50;16;45;35;79;PM2,5;SEDANG
202210;19/10/2022;DKI4;64;92;51;22;42;44;92;PM2,5;SEDANG
202210;20/10/2022;DKI4;67;88;51;28;47;45;88;PM2,5;SEDANG
202210;21/10/2022;DKI4;52;67;50;16;31;27;67;PM2,5;SEDANG
202210;22/10/2022;DKI4;58;82;51;19;39;41;82;PM2,5;SEDANG
202210;23/10/2022;DKI4;52;66;51;11;45;21;66;PM2,5;SEDANG
202210;24/10/2022;DKI4;41;57;50;10;31;18;57;PM2,5;SEDANG
202210;25/10/2022;DKI2;27;53;51;9;30;19;53;PM2,5;SEDANG
202210;26/10/2022;DKI4;39;43;51;11;27;17;51;SO2;SEDANG
202210;27/10/2022;DKI4;41;66;51;18;35;27;66;PM2,5;SEDANG
202210;28/10/2022;DKI4;54;77;51;16;33;32;77;PM2,5;SEDANG
202210;29/10/2022;DKI4;53;86;51;15;41;29;86;PM2,5;SEDANG
202210;30/10/2022;DKI4;51;87;51;11;49;19;87;PM2,5;SEDANG
202210;31/10/2022;DKI4;60;78;51;21;44;22;78;PM2,5;SEDANG
202211;01/11/2022;DKI4;49;70;51;10;44;21;70;PM2,5;SEDANG
202211;02/11/2022;DKI4;84;144;51;14;54;34;144;PM2,5;TIDAK SEHAT
202211;03/11/2022;DKI4;65;89;51;13;49;23;89;PM2,5;SEDANG
202211;04/11/2022;DKI4;66;95;52;23;49;42;95;PM2,5;SEDANG
202211;05/11/2022;DKI4;62;81;51;22;55;42;81;PM2,5;SEDANG
202211;06/11/2022;DKI3;63;90;51;18;38;34;90;PM2,5;SEDANG
202211;07/11/2022;DKI4;74;104;51;13;48;22;104;PM2,5;TIDAK SEHAT
202211;08/11/2022;DKI3;66;101;53;30;36;50;101;PM2,5;TIDAK SEHAT
202211;09/11/2022;DKI4;64;96;51;25;41;47;96;PM2,5;SEDANG
202211;10/11/2022;DKI3;53;76;51;18;29;30;76;PM2,5;SEDANG
202211;11/11/2022;DKI4;46;71;51;19;31;25;71;PM2,5;SEDANG
202211;12/11/2022;DKI3;40;61;51;11;36;18;61;PM2,5;SEDANG
202211;13/11/2022;DKI4;38;63;51;17;38;27;63;PM2,5;SEDANG
202211;14/11/2022;DKI4;60;85;51;17;44;28;85;PM2,5;SEDANG
202211;15/11/2022;DKI4;59;95;51;16;39;33;95;PM2,5;SEDANG
202211;16/11/2022;DKI3;54;80;52;10;31;22;80;PM2,5;SEDANG
202211;17/11/2022;DKI4;58;72;52;12;35;25;72;PM2,5;SEDANG
202211;18/11/2022;DKI2;42;53;53;16;29;27;53;PM2,5;SEDANG
202211;19/11/2022;DKI4;47;77;56;12;27;24;77;PM2,5;SEDANG
202211;20/11/2022;DKI4;34;51;51;7;30;12;51;PM2,5;SEDANG
202211;21/11/2022;DKI3;40;62;51;11;29;19;62;PM2,5;SEDANG
